Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
1.743048500,1,0,1,0
1.798245125,0,0,0,0
2.364044625,1,0,1,0
3.010542250,0,0,0,0
3.010544500,0,1,0,1
3.409036875,0,0,0,0
3.608799500,1,1,1,1
3.858251875,0,0,0,0
4.107720750,1,1,1,1
4.357099625,0,0,0,0
4.606573375,1,1,1,1
4.856185125,0,0,0,0
5.603831750,1,0,1,0
6.002456125,0,0,0,0
6.002458375,0,1,0,1
6.400982000,0,0,0,0
6.600659125,1,1,1,1
6.850086375,0,0,0,1
6.850086500,0,0,0,0
7.099491375,1,1,1,1
7.348981375,0,0,0,0
7.598414000,1,1,1,1
7.847758000,0,0,0,0
8.594636125,1,0,1,0
8.992939750,0,0,0,0
8.992942000,0,1,0,1
9.391300125,0,0,0,0
9.590994125,1,1,1,1
9.727726000,1,1,1,1
